Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,EMA_5,EMA_10
29-11-2010,7.082,7.19,6.666,6.866,6.866,5728000,6.9236,6.4786,6.820709026652894,6.493848238758675
30-11-2010,6.748,7.066,6.682,7.066,7.066,11113000,7.0008,6.5692,6.9024726844352635,6.597875831711643
01-12-2010,7.174,7.284,6.69,6.87,6.87,6496000,6.992,6.6628,6.891648456290176,6.647352953218617
02-12-2010,6.802,6.86,6.24,6.47,6.47,10035000,6.8671999999999995,6.720000000000001,6.7510989708601175,6.615106961724322
03-12-2010,6.402,6.45,6.174,6.298,6.298,5800500,6.714,6.752,6.600065980573412,6.557451150501718
06-12-2010,6.27,6.29,5.912,6.062,6.062,6372000,6.5531999999999995,6.7384,6.420710653715608,6.467369123137769
07-12-2010,6.098,6.48,6.01,6.312,6.312,6556500,6.4024,6.701599999999999,6.384473769143739,6.439120191658175
08-12-2010,6.496,6.498,6.304,6.474,6.474,3300000,6.3232,6.6575999999999995,6.4143158460958265,6.4454619749930515
09-12-2010,6.502,6.544,6.33,6.41,6.41,2030000,6.311200000000001,6.5892,6.412877230730552,6.439014343176133
10-12-2010,6.41,6.584,6.226,6.304,6.304,2147000,6.3124,6.5132,6.376584820487036,6.414466280780472
13-12-2010,6.328,6.354,6.08,6.11,6.11,2052000,6.322,6.437600000000001,6.287723213658024,6.359108775184023
14-12-2010,6.058,6.078,5.552,5.706,5.706,8828500,6.200800000000001,6.3016000000000005,6.093815475772017,6.240361725150564
15-12-2010,5.734,5.994,5.706,5.92,5.92,3714500,6.09,6.2066,6.035876983848011,6.182114138759552
16-12-2010,6.0,6.182,5.93,6.162,6.162,3950500,6.0404,6.175800000000001,6.077917989232008,6.178457022621451
17-12-2010,6.268,6.308,6.142,6.272,6.272,4065000,6.034000000000001,6.1732000000000005,6.1426119928213385,6.195464836690277
20-12-2010,6.328,6.438,6.252,6.34,6.34,2617000,6.08,6.201,6.208407995214226,6.221743957292045
21-12-2010,6.36,6.538,6.342,6.452,6.452,3888500,6.2292000000000005,6.215,6.289605330142818,6.263608692329854
22-12-2010,6.45,6.572,6.34,6.526,6.526,4166500,6.3504,6.2202,6.368403553428546,6.311316202815335
23-12-2010,6.252,6.496,5.984,6.018,6.018,7763000,6.3216,6.181,6.251602368952364,6.257985984121637
27-12-2010,5.604,5.716,5.012,5.11,5.11,46509500,6.0892,6.0616,5.871068245968243,6.049261259735884
28-12-2010,5.17,5.35,5.0,5.282,5.282,20281500,5.877599999999999,5.9788,5.674712163978829,5.909759212511178
29-12-2010,5.406,5.602,5.3,5.546,5.546,16596000,5.6964,5.9628,5.63180810931922,5.843621173872782
30-12-2010,5.54,5.58,5.276,5.3,5.3,10205500,5.4512,5.9008,5.521205406212814,5.744780960441367
31-12-2010,5.314,5.45,5.3,5.326,5.326,7089500,5.3128,5.817200000000001,5.456136937475209,5.668638967633846
03-01-2011,5.368,5.4,5.18,5.324,5.324,6415000,5.3556,5.7223999999999995,5.41209129165014,5.605977337154965
04-01-2011,5.332,5.39,5.204,5.334,5.334,5937000,5.366,5.6218,5.386060861100093,5.556526912217698
05-01-2011,5.296,5.38,5.238,5.366,5.366,7233500,5.33,5.5132,5.379373907400062,5.521885655450843
06-01-2011,5.366,5.6,5.362,5.576,5.576,10306000,5.385199999999999,5.4182,5.444915938266708,5.531724627187053
07-01-2011,5.6,5.716,5.58,5.648,5.648,11239500,5.449599999999999,5.3812,5.5126106255111385,5.552865604062134
10-01-2011,5.634,5.736,5.61,5.69,5.69,6713500,5.5228,5.4392,5.571740417007426,5.577799130596292
11-01-2011,5.718,5.742,5.384,5.392,5.392,8551000,5.5344,5.450200000000001,5.511826944671618,5.544017470487875
12-01-2011,5.402,5.48,5.304,5.392,5.392,4822000,5.5396,5.4348,5.47188462978108,5.51637793039917
13-01-2011,5.392,5.394,5.232,5.244,5.244,3618000,5.4732,5.4292,5.39592308652072,5.466854670326593
14-01-2011,5.23,5.316,5.122,5.15,5.15,5960000,5.373600000000001,5.4116,5.3139487243471475,5.409244730267212
18-01-2011,5.096,5.128,4.95,5.128,5.128,8108500,5.2612000000000005,5.392,5.251965816231432,5.358109324764082
19-01-2011,5.054,5.094,4.75,4.806,4.806,11857500,5.144,5.3392,5.103310544154288,5.257725811170612
20-01-2011,4.806,4.89,4.474,4.524,4.524,11399500,4.970400000000001,5.255,4.910207029436193,5.1243211182305
21-01-2011,4.624,4.718,4.542,4.608,4.608,6085000,4.8432,5.1582,4.809471352957462,5.0304445512794995
24-01-2011,4.706,4.962,4.646,4.898,4.898,8225500,4.7928,5.0832,4.838980901971642,5.006363723774136
25-01-2011,4.93,4.978,4.804,4.936,4.936,6357500,4.7543999999999995,5.0078000000000005,4.871320601314428,4.993570319451566
26-01-2011,4.942,4.976,4.82,4.95,4.95,5399500,4.783199999999999,4.9636,4.897547067542952,4.985648443187645
27-01-2011,4.948,5.016,4.906,4.984,4.984,4478500,4.8751999999999995,4.9228000000000005,4.926364711695301,4.985348726244437
28-01-2011,4.976,4.976,4.75,4.802,4.802,5242000,4.914,4.8786,4.884909807796868,4.952012594199993
31-01-2011,4.81,4.824,4.7,4.82,4.82,4151500,4.8984000000000005,4.845599999999999,4.863273205197912,4.928010304345449
01-02-2011,4.862,4.946,4.708,4.782,4.782,3539000,4.8676,4.811,4.836182136798609,4.90146297628264
02-02-2011,4.832,4.836,4.734,4.788,4.788,2847500,4.8351999999999995,4.8092,4.820121424532406,4.880833344231251
03-02-2011,4.764,4.78,4.63,4.726,4.726,2560000,4.7836,4.8294,4.788747616354938,4.852681827098296
04-02-2011,4.688,4.734,4.644,4.692,4.692,2720000,4.7616,4.8378,4.756498410903292,4.82346694944406
07-02-2011,4.652,4.652,4.576,4.614,4.614,4475500,4.7204,4.8094,4.708998940602195,4.78538204954514
08-02-2011,4.756,5.05,4.6,4.898,4.898,17524500,4.7436,4.8056,4.771999293734797,4.805858040536933
09-02-2011,4.826,4.836,4.558,4.642,4.642,13178000,4.7143999999999995,4.7748,4.728666195823198,4.776065669530217
10-02-2011,4.652,4.728,4.562,4.644,4.644,4180500,4.698,4.7408,4.700444130548799,4.752053729615632
11-02-2011,4.65,4.75,4.588,4.65,4.65,3172500,4.6896,4.7256,4.683629420365866,4.733498506049153
14-02-2011,4.728,4.828,4.61,4.616,4.616,6415500,4.6899999999999995,4.7052,4.661086280243911,4.712135141312943
15-02-2011,4.602,4.634,4.512,4.568,4.568,4768500,4.6240000000000006,4.6838,4.630057520162607,4.685928751983316
16-02-2011,4.62,4.994,4.614,4.946,4.946,20575500,4.6848,4.6996,4.735371680108405,4.733214433440894
17-02-2011,4.926,5.098,4.71,4.72,4.72,13092000,4.7,4.699,4.730247786738937,4.730811809178913
18-02-2011,4.666,4.698,4.592,4.636,4.636,11853500,4.6972000000000005,4.6934000000000005,4.698831857825958,4.71357329841911
22-02-2011,4.576,4.6,4.356,4.374,4.374,10323000,4.6488,4.6693999999999996,4.590554571883972,4.651832698706545
23-02-2011,4.436,4.5,4.222,4.366,4.366,8028000,4.6084,4.6162,4.515703047922648,4.599863117123537
24-02-2011,4.356,4.516,4.3,4.506,4.506,5276500,4.5204,4.6026,4.512468698615099,4.582797095828348
25-02-2011,4.562,4.77,4.538,4.722,4.722,6731500,4.5207999999999995,4.6104,4.5823124657434,4.608106714768648
28-02-2011,4.748,4.82,4.7,4.778,4.778,5256000,4.5492,4.6232,4.647541643828934,4.63899640299253
01-03-2011,4.81,4.864,4.74,4.788,4.788,5532000,4.632,4.6404000000000005,4.694361095885956,4.666087966084797
02-03-2011,4.764,4.856,4.746,4.804,4.804,3316500,4.7196,4.664,4.730907397257305,4.691162881342106
03-03-2011,4.896,4.958,4.812,4.872,4.872,3201000,4.7928,4.6566,4.777938264838204,4.724042357461723
04-03-2011,4.896,4.998,4.756,4.99,4.99,7900500,4.8464,4.6836,4.848625509892136,4.772398292468682
07-03-2011,4.986,5.08,4.94,4.988,4.988,10168000,4.8884,4.7188,4.895083673261424,4.811598602928921
08-03-2011,4.92,4.992,4.8,4.932,4.932,6999500,4.9172,4.7746,4.907389115507616,4.833489766032754
09-03-2011,4.932,4.998,4.854,4.944,4.944,4624000,4.945200000000001,4.832400000000001,4.919592743671744,4.85358253584498
10-03-2011,4.888,4.898,4.746,4.802,4.802,5085000,4.9312,4.862,4.8803951624478294,4.8442038929640745
11-03-2011,4.77,4.85,4.706,4.814,4.814,4654000,4.896,4.8712,4.858263441631887,4.838712276061515
14-03-2011,4.764,4.8,4.64,4.65,4.65,5830000,4.8284,4.8584000000000005,4.788842294421258,4.804400953141239
15-03-2011,4.44,4.592,4.36,4.59,4.59,6594000,4.76,4.8386,4.722561529614172,4.765418961661013
16-03-2011,4.572,4.65,4.538,4.564,4.564,5848500,4.684,4.8146,4.669707686409448,4.728797332268102
17-03-2011,4.648,4.686,4.528,4.562,4.562,4613000,4.636,4.7836,4.633805124272966,4.698470544582992
18-03-2011,4.638,4.638,4.502,4.592,4.592,3439500,4.5916,4.7438,4.619870082848644,4.679112263749721
21-03-2011,4.61,4.61,4.508,4.546,4.546,2058500,4.5708,4.6996,4.595246721899096,4.654910033977044
22-03-2011,4.546,4.572,4.4,4.438,4.438,2914500,4.5404,4.6502,4.5428311479327315,4.615471845981218
23-03-2011,4.422,4.454,4.354,4.442,4.442,2114000,4.516,4.6,4.509220765288488,4.583931510348268
24-03-2011,4.428,4.476,4.396,4.466,4.466,2311000,4.4968,4.5664,4.494813843525659,4.562489417557674
25-03-2011,4.486,4.6,4.48,4.55,4.55,2840000,4.4884,4.54,4.5132092290171055,4.560218614365369
28-03-2011,4.54,4.708,4.51,4.65,4.65,5290500,4.5092,4.54,4.558806152678071,4.576542502662575
29-03-2011,4.66,4.8,4.642,4.784,4.784,3777000,4.5784,4.5594,4.633870768452047,4.614262047633016
30-03-2011,4.822,4.898,4.602,4.742,4.742,6116500,4.6384,4.5772,4.669913845634698,4.637487129881558
31-03-2011,5.31,5.742,5.3,5.55,5.55,57589000,4.8552,4.676,4.963275897089798,4.803398560812184
01-04-2011,5.49,5.636,5.314,5.332,5.332,14324000,5.0116,4.75,5.086183931393199,4.899507913391787
04-04-2011,5.366,5.4,5.046,5.166,5.166,13046500,5.1148,4.812,5.112789287595467,4.947961020047825
05-04-2011,5.18,5.4,5.138,5.34,5.34,15904500,5.226000000000001,4.9022,5.188526191730311,5.019240834584584
06-04-2011,5.398,5.402,5.16,5.298,5.298,6441500,5.3372,4.9878,5.225017461153541,5.069924319205568
07-04-2011,5.37,5.588,5.29,5.448,5.448,14051500,5.3168,5.086,5.299344974102361,5.1386653520772825
08-04-2011,5.516,5.52,5.272,5.298,5.298,9732000,5.3100000000000005,5.1608,5.298896649401574,5.167635288063231
11-04-2011,5.294,5.306,5.004,5.054,5.054,6847000,5.287599999999999,5.2012,5.217264432934384,5.146974326597189
12-04-2011,5.016,5.042,4.86,4.93,4.93,6787000,5.2056,5.2158,5.121509621956256,5.107524449034063
13-04-2011,5.026,5.138,4.962,4.986,4.986,6057500,5.1432,5.2402,5.076339747970838,5.085429094664233
14-04-2011,4.974,5.056,4.84,5.028,5.028,4917000,5.0592,5.188000000000001,5.060226498647225,5.074987441088918
15-04-2011,5.13,5.236,5.082,5.116,5.116,4717500,5.022799999999999,5.1664,5.0788176657648165,5.082444269981842
18-04-2011,5.026,5.124,4.872,5.006,5.006,5169500,5.013199999999999,5.1504,5.054545110509878,5.068545311803325
19-04-2011,5.052,5.052,4.93,5.032,5.032,2743500,5.0336,5.1196,5.047030073673252,5.061900709657265
20-04-2011,5.14,5.218,5.06,5.15,5.15,4186000,5.0664,5.1048,5.081353382448835,5.077918762446853
21-04-2011,5.17,5.396,5.118,5.348,5.348,6930500,5.1304,5.0948,5.170235588299224,5.12702444200197
25-04-2011,5.34,5.346,5.194,5.278,5.278,4004500,5.1628,5.0928,5.20615705886615,5.154474543456156
26-04-2011,5.332,5.45,5.262,5.386,5.386,7000000,5.2387999999999995,5.1259999999999994,5.266104705910767,5.196570081009582
27-04-2011,5.386,5.472,5.326,5.416,5.416,4984500,5.3156,5.1746,5.316069803940511,5.236466429916931
28-04-2011,5.414,5.538,5.344,5.532,5.532,8000000,5.3919999999999995,5.2292,5.388046535960341,5.29019980629567
29-04-2011,5.538,5.574,5.484,5.52,5.52,3630000,5.426399999999999,5.2783999999999995,5.432031023973561,5.331981659696457
02-05-2011,5.52,5.56,5.412,5.49,5.49,3923000,5.4688,5.3158,5.451354015982375,5.360712267024374
03-05-2011,5.476,5.478,5.3,5.374,5.374,4569500,5.4664,5.3526,5.425569343988251,5.363128218474487
04-05-2011,5.356,5.4,5.15,5.338,5.338,5222500,5.4508,5.3832,5.396379562658835,5.358559451479126
05-05-2011,5.44,5.488,5.234,5.288,5.288,6092500,5.402,5.397,5.360253041772557,5.345730460301103
06-05-2011,5.38,5.54,5.324,5.424,5.424,4908500,5.3828000000000005,5.4046,5.381502027848372,5.359961285700902
09-05-2011,5.4,5.6,5.37,5.582,5.582,4582000,5.4012,5.4350000000000005,5.448334685232249,5.4003319610280105
10-05-2011,5.648,5.79,5.582,5.666,5.666,7676500,5.4596,5.463,5.520889790154833,5.448635240841099
11-05-2011,5.64,5.66,5.384,5.414,5.414,4812500,5.4748,5.4628,5.485259860103222,5.442337924324535
12-05-2011,5.414,5.548,5.33,5.534,5.534,3140000,5.523999999999999,5.463,5.501506573402148,5.4590037562655285
13-05-2011,5.6,5.638,5.46,5.51,5.51,3307500,5.5412,5.462,5.504337715601432,5.468275800580887
16-05-2011,5.598,5.598,5.31,5.32,5.32,3778500,5.4887999999999995,5.444999999999999,5.442891810400955,5.441316564111635
17-05-2011,5.4,5.4,5.144,5.192,5.192,6171000,5.394,5.4268,5.3592612069339705,5.395986279727701
18-05-2011,5.22,5.294,5.104,5.27,5.27,3647500,5.3652,5.42,5.329507471289314,5.3730796834135734
19-05-2011,5.406,5.688,5.32,5.64,5.64,13275500,5.3864,5.4552,5.433004980859543,5.4216106500656505
20-05-2011,5.652,5.656,5.47,5.594,5.594,4212500,5.4032,5.472199999999999,5.486669987239696,5.452954168235532
23-05-2011,5.524,5.524,5.324,5.364,5.364,4318000,5.412,5.4504,5.445779991493131,5.436780683101798
24-05-2011,5.404,5.5,5.32,5.344,5.344,3068500,5.4424,5.418200000000001,5.411853327662088,5.41991146799238
25-05-2011,5.38,5.802,5.234,5.796,5.796,23465500,5.5476,5.4564,5.539902218441393,5.4882912010846745
26-05-2011,5.764,5.952,5.62,5.896,5.896,16684500,5.5988,5.4926,5.658601478960929,5.562420073614733
27-05-2011,5.908,5.934,5.764,5.91,5.91,8435500,5.662,5.5326,5.742400985973953,5.6256164238665995
31-05-2011,5.938,6.056,5.91,6.028,6.028,16452500,5.7948,5.6034,5.837600657315969,5.698777074072672
01-06-2011,6.0,6.02,5.676,5.704,5.704,7649500,5.8668,5.6546,5.793067104877313,5.69972669696855
02-06-2011,5.704,5.864,5.702,5.752,5.752,4931500,5.858,5.7028,5.779378069918209,5.709230933883358
03-06-2011,5.99,6.3,5.9,6.026,6.026,31046000,5.8839999999999995,5.7414,5.861585379945473,5.766825309540929
